,3110035E14Rik_class,Aldoc_class,Cck_class,Cplx2_class,Enc1_class,Gad1_class,Id2_class,Ndnf_class,Neurod6_class,Npy2r_class,Pcp4_class,Pde1a_class,Plp1_class,Prkca_class,Pvalb_class,Reln_class,Rgs4_class,Sst_class,Wfs1_class,Zero
3110035E14Rik,4.8757662553499035,0.6050480035452735,1.4982223358967872,2.545649788917285,2.8786587302647106,0.040861312590145436,0.23683792211790344,0.10295427944268831,2.537763430457711,0.6286145190615897,8.351787749407514,3.968414747859697,0.18061757256968558,2.861451679251699,1.0768223540308193,0.25232419769961206,1.7266008413869176,0.6062930467030502,2.1690440543444223,0.19508344497017313
6330403K07Rik,0.21642166397399062,0.6215995116817684,0.3087183835500132,0.0024348663782907476,0.33611773434169046,0.22312909778540654,0.0004367467103717321,0.05047426918918488,0.06973003263655653,0.02242378974873464,0.4849906753238605,0.39572593174866916,0.07789447529841305,0.21922642435418868,0.11634016689732299,0.6288413903409619,0.3593445800175171,0.20306301834118715,0.033774094176975605,0.09582528033316362
Adgrl2,0.0,0.0009596469356403291,0.08097132561130174,0.0,0.0,0.0,0.02808263654532255,0.05434165146306461,0.0,0.3295205951947065,0.0,0.0,0.00048337001896162193,0.15395677989031342,0.02616906994703992,0.016936868601974447,0.03607301948940693,0.12401799168494168,0.5491235940493501,0.007181196441664348
Aldoc,0.016911499499259332,1.9614324507466736,0.300841004137014,0.1376712720618914,0.04076514348174774,0.19855341741619162,0.41438907376540807,0.07989289567605229,0.42199913080501095,0.4215866998263894,3.898327329456001,0.8300438310049916,0.1750372441389035,0.1796486783874592,0.5940503546540644,0.28702684575556736,0.4394971218864349,0.41976795515925186,0.1770300671961206,0.2992181583847448
Arpp21,1.713840408510414,0.15720610097153265,0.3241719423699728,0.10822797426313353,1.0016337236073847,0.06458799365502794,0.3767710035871969,0.1573777348647578,0.9354549390130471,0.27772629662874476,1.0118508552115004,0.8459647822074732,0.039811784558514196,0.5370770423152794,0.09439390341269736,0.07367100010755674,0.7207269626258077,0.04243215114396669,0.8407342270224647,0.03804400544726568
Bcl11b,0.8060609830490755,0.025594059747331546,0.00010018666934545513,0.260660338238784,0.020956165013616992,0.0,0.14709574162678707,0.05350431090100775,0.10909891343733033,0.1602633342281595,0.20189671678996823,0.9672627386768659,0.004887142758255689,0.23029111891071982,0.0,0.035614579503480785,0.06466000988884713,0.30562558913033516,0.028958590522368245,0.009442899819507179
Cadps2,0.26674145952781597,0.057585770238763205,0.12163563814859431,0.3019373350194584,0.18901433936119397,0.1900353393896223,0.3255215568500083,1.1615864971494276,0.06101171415208388,0.06399228982174537,0.17674762902983554,0.5435828996759151,0.025485638063444525,0.6024770524361698,0.29918296721405674,0.1339354894584951,0.08152352704015303,0.1524907478265099,0.3192082046500629,0.03637356497412311
Calb1,0.0,0.0019876526228657975,0.0009084828802448168,0.0,0.0,0.06579899939531131,0.03684100230998609,0.05389632771300301,0.0,0.23098677548024207,0.0,0.19746390268836467,5.609457853927807e-05,0.04013563748601652,0.0,0.018588144991880353,0.01459346737725015,0.06865721619658438,0.17359963446803706,0.0020527531439045762
Calb2,0.0,0.0052745942494382865,0.25762168876632785,0.0,9.018323628044618e-05,0.0,0.03894148935279506,0.0,3.452131323814998e-05,0.0020041166522898526,0.0,0.2903796626056394,0.01173054123280954,0.026882266534291203,0.05261751596225801,0.036677545207192505,0.0,0.008730540452938043,3.952079032890158e-05,0.007945497486910355
Cck,1.4468660802292244,0.06048423905365459,3.269296242537615,2.017377889153526,1.3116832647474075,0.07353124446123865,0.6349751790936058,0.9129669269227717,0.6854917841307244,0.4401269262243853,1.8576350554236665,1.5724104986651912,0.01452955834495554,1.1208136645168705,0.22792236566042884,0.03677355667693559,0.5340826147694384,0.04519471680615028,0.6945262185265718,0.04329607041945865
